,Model,Colour,Memory,RAM,Battery_,Rear Camera,Front Camera,AI Lens,Mobile Height,Processor_,Prize
255,REDMI Note 12 Pro+ 5G,Arctic White,256,8,4980,200MP,16MP,0,16.94,Mediatek Dimensity 1080,29999
257,REDMI Note 12,Lunar Black,128,6,5000,50MP,13MP,0,16.94,Snapdragon 685,16999
258,OPPO A17,Sunlight Orange,64,4,5000,50MP,5MP,0,16.66,Mediatek Helio G35,12499
259,OPPO A17,Midnight Black,64,4,5000,50MP,5MP,0,16.66,Mediatek Helio G35,12499
260,POCO X5 Pro 5G,Yellow,128,6,5000,108MP,16MP,0,16.94,Qualcomm Snapdragon 778G,21999
261,realme 9 Pro+ 5G,Aurora Green,256,8,4500,50MP,16MP,0,16.26,Mediatek Dimensity 920,21999
262,realme 9 Pro+ 5G,Midnight Black,256,8,4500,50MP,16MP,0,16.26,Mediatek Dimensity 920,21999
263,REDMI 11 Prime,Playful Green,64,4,5000,50MP,8MP,0,16.71,Helio G99,9999
264,REDMI Note 12 Pro 5G,Glacier Blue,256,8,5000,50MP,16MP,0,16.94,Mediatek Dimensity 1080,26999
265,REDMI Note 12 Pro 5G,Onyx Black,128,6,5000,50MP,16MP,0,16.94,Mediatek Dimensity 1080,23999
266,REDMI Note 12,Ice Blue,128,6,5000,50MP,13MP,0,16.94,Snapdragon 685,16999
269,realme Narzo 30,Racing Silver,64,4,5000,48MP,16MP,0,16.51,MediaTek Helio G95,13499
270,POCO X5 Pro 5G,Astral Black,128,6,5000,108MP,16MP,0,16.94,Qualcomm Snapdragon 778G,21999
271,Infinix Hot 12,Exploratory Blue,64,4,6000,50MP,8MP,1,17.32,Meditek Helio G37,8999
272,Infinix Hot 12,Polar Black,64,4,6000,50MP,8MP,1,17.32,Meditek Helio G37,8999
273,Infinix Hot 12,7Â° Purple,64,4,6000,50MP,8MP,1,17.32,Meditek Helio G37,8999
274,Infinix Hot 12,Turquoise Cyan,64,4,6000,50MP,8MP,1,17.32,Meditek Helio G37,8999
275,REDMI Note 12 Pro+ 5G,Iceberg Blue,256,4,4980,200MP,16MP,0,16.94,Mediatek Dimensity 1080,32999
276,MOTOROLA G32,Mineral Gray,64,4,5000,50MP,16MP,0,16.64,Qualcomm Snapdragon 680,10999
277,MOTOROLA g72,Meteorite Grey,128,6,5000,108MP,16MP,0,16.64,Mediatek Helio G99,16999
278,Micromax IN 2C,Brown,32,3,5000,8MP,5MP,0,16.56,Unisoc T610,5999
279,vivo Y16,Drizzling Gold,128,4,5000,13MP,5MP,0,16.54,Mediatek Helio P35,12990
280,MOTOROLA Edge 40,Lunar Blue,256,8,4400,50MP,32MP,0,16.64,Dimensity 8020,29999
281,POCO X4 Pro 5G,Yellow,64,6,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 695 5G,16499
282,POCO F5 5G,Carbon Black,256,8,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),29999
283,realme 9 Pro+ 5G,Sunrise Blue,256,8,4500,50MP,16MP,0,16.26,Mediatek Dimensity 920,21999
284,realme Narzo 50i,Carbon Black,32,2,5000,8MP,5MP,0,16.51,SC9863A,6978
285,realme Narzo 50i,Mint Green,32,2,5000,8MP,5MP,0,16.51,SC9863A,7370
286,REDMI Note 12 Pro+ 5G,Arctic White,256,2,4980,200MP,16MP,0,16.94,Mediatek Dimensity 1080,32999
287,MOTOROLA e13,Creamy White,64,2,5000,13MP,5MP,0,16.51,Unisoc T606,6799
288,SAMSUNG Galaxy F23 5G,Forest Green,128,4,5000,50MP,8MP,0,16.76,Qualcomm Snapdragon 750G,15999
289,SAMSUNG Galaxy Z Flip3 5G,Phantom Black,128,8,3300,12MP,10MP,0,17.02,Qualcomm Snapdragon 888 Octa-Core,44999
290,POCO M4 Pro 5G,Cool Blue,128,6,5000,50MP,16MP,0,16.76,Mediatek Dimensity 810,16999
291,MOTOROLA g42,Atlantic Green,64,4,5000,50MP,16MP,0,16.43,Qualcomm Snapdragon 680,13999
292,POCO M4 5G,Cool Blue,128,6,5000,50MP,8MP,0,16.71,Mediatek Dimensity 700,13999
294,realme C33,Night Sea,32,3,5000,50MP,5MP,0,16.51,Unisoc T612,8999
295,realme C33,Aqua Blue,32,3,5000,50MP,5MP,0,16.51,Unisoc T612,8999
296,realme Narzo 50i Prime,Dark Blue,64,4,5000,8MP,5MP,0,16.51,Unisoc T612 processor,8995
297,Infinix Zero 20,Green Fantasy,128,8,4500,108MP,60MP,0,17.02,Mediatek G99,15999
298,Infinix Zero 20,DEEP GRAY,128,8,4500,108MP,60MP,0,17.02,Mediatek G99,15999
299,realme 8,Punk Black,128,4,5000,64MP,16MP,0,16.26,MediaTek Helio G95,13499
300,realme C33,Night Sea,64,4,5000,50MP,5MP,0,16.51,Unisoc T612,9999
301,realme C33,Sandy Gold,64,4,5000,50MP,5MP,0,16.51,Unisoc T612,9999
302,realme C33,Aqua Blue,64,4,5000,50MP,5MP,0,16.51,Unisoc T612,9999
303,realme 8,Cyber Black,128,8,5000,64MP,16MP,0,16.26,MediaTek Helio G95,15499
304,vivo Y35,Dawn Gold,128,8,5000,50MP,16MP,0,16.71,Qualcomm Snapdragon 680,16999
305,vivo Y35,Agate Black,128,8,5000,50MP,16MP,0,16.71,Qualcomm Snapdragon 680,16999
306,MOTOROLA Edge 30,Aurora Green,128,8,4020,50MP,32MP,0,16.64,Qualcomm Snapdragon 778G Plus,24999
307,MOTOROLA g72,Polar Blue,128,6,5000,108MP,16MP,0,16.64,Mediatek Helio G99,16999
308,MOTOROLA g52,Charcoal Grey,64,4,5000,50MP,16MP,0,16.76,Qualcomm Snapdragon 680,11249
309,MOTOROLA Edge 30 Fusion,Cosmic grey,128,8,4400,50MP,32MP,0,16.64,Qualcomm Snapdragon 888 +,34999
310,REDMI K50i 5G,Quick Silver,128,6,5080,64MP,16MP,0,16.76,Dimensity 8100,21174
311,Infinix Note 12,Force Black,64,4,5000,50MP,16MP,1,17.02,MediaTek Helio G88,10999
312,Google Pixel 7a,Sea,128,8,4300,64MP,13MP,0,15.49,Tensor G2,43999
313,Google Pixel 7a,Charcoal,128,8,4300,64MP,13MP,0,15.49,Tensor G2,43999
314,Tecno Spark 9,Infinity Black,64,4,5000,13MP,8MP,0,16.76,MediaTek Helio G37,7993
315,Tecno Spark 9,Sky Mirror,64,4,5000,13MP,8MP,0,16.76,MediaTek Helio G37,8069
316,MOTOROLA Edge 30,Meteor Grey,128,8,4020,50MP,32MP,0,16.64,Qualcomm Snapdragon 778G Plus,24999
317,OPPO Reno8T 5G,Sunrise Gold,128,8,4800,108MP,32MP,0,17.02,Qualcomm Snapdragon 695,29999
318,SAMSUNG Galaxy A14 5G,Dark Red,64,4,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),16499
319,MOTOROLA g13,Matte Charcoal,64,4,5000,50MP,8MP,0,16.51,Helio G85,9499
320,REDMI Note 12 Pro 5G,Glacier Blue,128,8,5000,50MP,16MP,0,16.94,Mediatek Dimensity 1080,25999
321,POCO F5 5G,Electric Blue,256,8,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),29999
322,SAMSUNG Galaxy A14 5G,Black,128,6,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),18999
323,OPPO Reno8T 5G,Midnight Black,128,8,4800,108MP,32MP,0,17.02,Qualcomm Snapdragon 695,29999
324,SAMSUNG Galaxy A14 5G,Light Green,128,6,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),18999
326,Infinix Note 12,Force Black,128,6,5000,50MP,16MP,1,17.02,MediaTek Helio G88,12999
327,SAMSUNG Galaxy F23 5G,Aqua Blue,128,4,5000,50MP,8MP,0,16.76,Qualcomm Snapdragon 750G,15999
328,POCO C31,Shadow Gray,64,4,5000,13MP,5MP,0,16.59,MediaTek Helio G35,8999
329,REDMI 10,Pacific Blue,64,4,6000,50MP,5MP,0,17.02,Qualcomm Snapdragon 680,9499
330,POCO X2,Atlantis Blue,64,6,4500,64MP,20MP,0,16.94,Qualcomm Snapdragon 730G,17999
331,POCO F5 5G,Snowstorm White,256,6,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),32999
332,Google Pixel 7a,Snow,128,8,4300,64MP,13MP,0,15.49,Tensor G2,43999
333,nothing phone 1,White,128,8,4500,50MP,16MP,0,16.64,Qualcomm Snapdragon 778G+,30499
334,Google Pixel 6a,chalk,128,8,4500,50MP,16MP,0,16.64,Qualcomm Snapdragon 778G+,30999
335,I Kall Z19Pro Flash blue,Flash Blue,64,4,5000,13MP,8MP,0,16.51,Octa Core,7999
336,MOTOROLA G32,Satin Silver,64,4,5000,50MP,16MP,0,16.64,Qualcomm Snapdragon 680,10999
337,Tecno Spark 9T,Turquoise Cyan,64,4,5000,50MP,8MP,0,16.76,MediaTek Helio G35,9290
338,POCO M4 Pro 5G,Yellow,64,4,5000,50MP,16MP,0,16.76,Mediatek Dimensity 810,14999
339,Tecno Spark 9T,Iris Purple,64,4,5000,50MP,8MP,0,16.76,MediaTek Helio G35,8449
340,Infinix Zero 5G 2023 TURBO,Pearly White,256,8,5000,50MP,16MP,0,17.22,Mediatek Dimensity 1080,17999
341,Tecno Spark 9T,Tahiti Gold,64,4,5000,50MP,8MP,0,16.76,MediaTek Helio G35,8495
342,Infinix Zero 5G 2023 TURBO,Submariner Black,256,8,5000,50MP,16MP,0,17.22,Mediatek Dimensity 1080,17999
343,I Kall Z19Pro,Blue,64,4,5000,13MP,8MP,0,16.51,Octa Core,7999
344,vivo Y16,Steller Black,64,4,5000,13MP,5MP,0,16.54,Mediatek Helio P35,11999
345,vivo Y16,Drizzling Gold,64,3,5000,13MP,5MP,0,16.54,Mediatek Helio P35,10499
346,vivo Y16,Steller Black,128,4,5000,13MP,5MP,0,16.54,Mediatek Helio P35,12999
349,nothing phone 1,Black,128,8,4500,50MP,16MP,0,16.64,Qualcomm Snapdragon 778G+,29499
350,REDMI K50i 5G,Stealth Black,128,6,5080,64MP,16MP,0,16.76,Dimensity 8100,20998
352,Tecno Spark 9T,Turquoise Cyan,64,4,5000,50MP,8MP,0,16.76,MediaTek Helio G35,9290
353,REDMI K50i 5G,Quick Silver,256,8,5080,64MP,16MP,0,16.76,Dimensity 8100,23999
354,OPPO A78 5G,Glowing Black,128,8,5000,13MP,5MP,0,16.66,Android,19280
355,Tecno Spark 9T,Atlantic Blue,64,4,5000,50MP,8MP,0,16.76,MediaTek Helio G35,8649
356,Infinix Zero 5G 2023 TURBO,Coral Orange,256,8,5000,50MP,16MP,0,17.22,Mediatek Dimensity 1080,17999
358,vivo Y16,Steller Black,64,3,5000,13MP,5MP,0,16.54,Mediatek Helio P35,10999
360,POCO X4 Pro 5G,Laser Black,128,8,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 695 5G,19499
361,realme Narzo 50i,Carbon Black,64,4,5000,8MP,5MP,0,16.51,SC9863A,9349
362,POCO X4 Pro 5G,Laser Black,128,8,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 695 5G,19499
363,Tecno Spark Go 2023,Endless Black,64,4,5000,13MP,5MP,0,16.66,"2GHz, Quad Core ",8288
364,REDMI 10 Prime 2022,Astral White,64,4,6000,50MP,13MP,0,16.51,Helio G88,12272
365,Tecno Spark Go 2023,Endless Black,32,3,5000,13MP,5MP,0,16.66,"2GHz, Quad Core ",6794
366,SAMSUNG Galaxy A23 5G,Light Blue,128,6,5000,50MP,8MP,0,16.76,Qualcomm Snapdragon 695 (SM6375),21999
367,SAMSUNG Galaxy A14 5G,Dark Red,128,6,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),18999
371,REDMI Note 12 Pro+ 5G,Obsidian Black,256,4,4980,200MP,16MP,0,16.94,Mediatek Dimensity 1080,32999
372,realme C35,Glowing Black,64,4,5000,50MP,8MP,0,16.76,Unisoc Tiger T616,9699
374,realme C35,Glowing Black,128,4,5000,50MP,8MP,0,16.76,Unisoc Tiger T616,10699
375,MOTOROLA g22,Cosmic Black,64,4,5000,50MP,16MP,0,16.51,Mediatek Helio G37,10999
376,itel A60,VertMenthe,32,2,5000,8MP,5MP,0,16.76,Unisoc,5999
377,vivo Y16,Drizzling Gold,64,4,5000,13MP,5MP,0,16.54,Mediatek Helio P35,11999
379,vivo V23 5G,Stardust Black,256,4,4200,64MP,50MP,0,16.36,Mediatek Dimensity 920,27540
380,OnePlus Nord 2T 5G,Gray Shadow,128,8,4500,50MP,32MP,0,17.02,Oxygen OS,27877
381,SAMSUNG Galaxy A23 5G,Orange,128,6,5000,50MP,8MP,0,16.76,Qualcomm Snapdragon 695 (SM6375),21999
382,itel A60,SapphireBlack,32,2,5000,8MP,5MP,0,16.76,Unisoc,5990
383,itel A60,DawnBlue,32,2,5000,8MP,5MP,0,16.76,Unisoc,5999
384,REDMI K50i 5G,Phantom Blue,128,6,5080,64MP,16MP,0,16.76,Dimensity 8100,21499
385,POCO M4 Pro 5G,Cool Blue,128,8,5000,50MP,16MP,0,16.76,Mediatek Dimensity 810,15999
386,MOTOROLA G42,Metallic Rose,64,4,5000,50MP,16MP,0,16.43,Qualcomm Snapdragon 680,11980
387,Infinix Smart 6,Starry Purple,64,2,5000,8MP,5MP,0,16.76,Mediatek Helio A22,6999
388,Infinix Smart 6,Heart Of Ocean,64,2,5000,8MP,5MP,0,16.76,Mediatek Helio A22,6999
389,Infinix Smart 6,Light Sea Green,64,2,5000,8MP,5MP,0,16.76,Mediatek Helio A22,6999
390,Infinix Smart 6,Polar Black,64,2,5000,8MP,5MP,0,16.76,Mediatek Helio A22,6999
391,realme 10 Pro+ 5G,Nebula Blue,128,8,5000,108MP,16MP,0,17.02,Mediatek Dimensity 1080 5G,23999
392,realme 9i,Prism Blue,64,4,5000,50MP,16MP,0,16.76,Qualcomm Snapdragon 680 (SM6225),11999
393,realme 9i,Prism Black,128,4,5000,50MP,16MP,0,16.76,Qualcomm Snapdragon 680 (SM6225),13499
396,SAMSUNG Galaxy A14 5G,Light Green,64,4,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),16499
397,SAMSUNG Galaxy A34 5G,Awesome Graphite,256,8,5000,48MP,13MP,0,16.76,"Dimensity 1080, Octa Core ",32999
398,realme Narzo N55,Prime Blue,64,4,5000,64MP,8MP,0,17.07,Mediatek Helio G88,11349
400,SAMSUNG Galaxy A34 5G,Awesome Silver,128,8,5000,48MP,13MP,0,16.76,"Dimensity 1080, Octa Core ",30999
406,OPPO A17k,Navy Blue,64,3,5000,8MP,5MP,0,16.66,Mediatek Helio P35,9499
407,OPPO A17K,Navy Blue,64,3,5000,8MP,5MP,0,16.66,Mediatek Helio G35,9790
408,OPPO A17k,Gold,64,3,5000,8MP,5MP,0,16.66,Mediatek Helio P35,9499
409,OnePlus Nord 2T 5G,Jade Fog,128,8,4500,50MP,32MP,0,17.02,Oxygen OS,28298
410,realme 10 Pro+ 5G,Dark Matter,128,8,5000,108MP,16MP,0,17.02,Mediatek Dimensity 1080 5G,23999
411,realme 10 Pro+ 5G,Hyperspace,128,8,5000,108MP,16MP,0,17.02,Mediatek Dimensity 1080 5G,23999
414,realme 10 Pro+ 5G,Nebula Blue,128,6,5000,108MP,16MP,0,17.02,Mediatek Dimensity 1080 5G,22999
415,realme 10 Pro+ 5G,Hyperspace,128,6,5000,108MP,16MP,0,17.02,Mediatek Dimensity 1080 5G,22999
416,realme 10 Pro+ 5G,Dark Matter,128,6,5000,108MP,16MP,0,17.02,Mediatek Dimensity 1080 5G,22999
417,POCO M4 Pro,Power Black,128,8,5000,64MP,16MP,0,16.33,Mediatek Helio G96,13999
418,Tecno Pop 5 Pro,Ice Blue,32,3,6000,8MP,5MP,0,16.56,Helio A22,7049
419,Tecno Pop 5 Pro,Deepsea Luster,32,3,6000,8MP,5MP,0,16.56,Helio A22,6960
420,SAMSUNG Galaxy M04,Dark Blue,128,4,5000,13MP,5MP,0,16.51,MediaTek Helio P35,9104
421,vivo V27 5G,Magic Blue,256,4,4600,50MP,50MP,0,17.22,Mediatek Dimensity 7200 5G,36999
422,REDMI 9 Activ,Carbon Black,128,6,5000,13MP,5MP,0,16.59,Mediatek Helio G35,9499
423,OPPO A77s,Sunset Orange,128,8,5000,50MP,8MP,0,16.66,Qualcomm Snapdragon 680,16499
424,realme C30s,Stripe Blue,32,2,5000,8MP,5MP,0,16.51,Unisoc SC9863A/ Unisoc SC9863A1,6999
427,MOTOROLA Edge 30 Ultra,Interstellar Black,256,4,4610,200MP,60MP,0,16.94,Qualcomm Snapdragon 8+ Gen 1,49999
429,SAMSUNG Galaxy A23 5G,Silver,128,6,5000,50MP,8MP,0,16.76,Qualcomm Snapdragon 695 (SM6375),21999
430,SAMSUNG Galaxy A14 5G,Dark Red,128,8,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),20999
431,SAMSUNG Galaxy A34 5G,Awesome Graphite,128,8,5000,48MP,13MP,0,16.76,"Dimensity 1080, Octa Core ",30999
432,IQOO Neo 7 5G,Frost Blue,128,8,5000,64MP,16MP,0,17.22,Snapdragon 8 Gen 1,30385
434,vivo Y56 5G,Black Engine,128,8,5000,50MP,16MP,0,16.71,Mediatek Dimensity 700,19999
435,Infinix Note 12 5G,Snowfall,64,6,5000,50MP,16MP,1,17.02,Mediatek Dimensity 810 5G,14999
436,Infinix HOT 12 Play,Racing Black,64,4,6000,13MP,8MP,0,17.32,Unisoc T610,8999
437,POCO F5 5G,Electric Blue,256,4,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),32999
438,vivo Y75,Dancing waves,128,8,4050,50MP,44MP,0,16.36,Mediatek G96,19990
440,realme C30s,Stripe Black,32,2,5000,8MP,5MP,0,16.51,Unisoc SC9863A/ Unisoc SC9863A1,6999
441,POCO X4 Pro 5G,Laser Blue,128,8,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 695 5G,19499
444,realme Narzo 50A Prime,Flash Blue,128,4,5000,50MP,8MP,0,16.76,Unisoc T612,12900
445,SAMSUNG Galaxy A14 5G,Black,64,4,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),16499
446,Tecno Spark 9,Sky Mirror,64,3,5000,13MP,8MP,0,16.76,MediaTek Helio G37,8990
447,realme NARZO 50A PRIME,FLASH BLUE,64,4,5000,50MP,8MP,0,16.76,Unisoc T612,10943
452,Google Pixel 7,Snow,128,8,4270,50MP,8MP,0,16,Google Tensor G2,55999
453,Google Pixel 7,Obsidian,128,8,4270,50MP,8MP,0,16,Google Tensor G2,55999
454,POCO F1,Steel Blue,64,6,4000,12MP,20MP,0,15.7,Qualcomm Snapdragon 845,13489
455,MOTOROLA Edge 30 Fusion,Solar Gold,128,8,4400,50MP,32MP,0,16.64,Qualcomm Snapdragon 888 +,34999
456,POCO F5 5G,Carbon Black,256,8,5000,64MP,16MP,0,16.94,Qualcomm Snapdragon 7+ Gen 2 (4nm),32999
458,vivo Y12G,Phantom Black,64,3,5000,13MP,8MP,0,16.54,Qualcomm Snapdragon 439,11209
460,REDMI Note 12 Pro 5G,Onyx Black,256,8,5000,50MP,16MP,0,16.94,Mediatek Dimensity 1080,26999
465,realme C30s,Stripe Black,64,4,5000,8MP,5MP,0,16.51,Unisoc SC9863A/ Unisoc SC9863A1,8499
467,realme C30s,Stripe Black,64,4,5000,8MP,5MP,0,16.51,Unisoc SC9863A/ Unisoc SC9863A1,8499
469,SAMSUNG Galaxy A14 5G,Black,128,8,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),20999
472,Google Pixel 7,Lemongrass,128,8,4270,50MP,8MP,0,16,Google Tensor G2,55999
473,SAMSUNG Galaxy A23,Black,128,6,5000,50MP,8MP,0,16.76,Octa-core(EXYNOS),17499
475,vivo Y56 5G,Orange Shimmer,128,8,5000,50MP,16MP,0,16.71,Mediatek Dimensity 700,19999
476,vivo Y56 5G,Black Engine,128,4,5000,50MP,16MP,0,16.71,Mediatek Dimensity 700,17999
477,realme Narzo 50A,Oxygen Blue,64,4,6000,50MP,8MP,0,16.51,MediaTek Helio G85,11499
478,vivo Y75,Moonlight Shadow,128,8,4050,50MP,44MP,0,16.36,Mediatek G96,16988
479,vivo Y16,Stellar Black,128,4,5000,13MP,5MP,0,16.54,Mediatek Helio P35,12989
480,MOTOROLA g52,Metallic White,128,6,5000,50MP,16MP,0,16.76,Qualcomm Snapdragon 680,13999
481,vivo Y100 5G,Pacific Blue,128,8,4500,64MP,16MP,0,16.21,Mediatek Dimensity 900,23999
482,Redmi 9A Sport,Coral Green,32,2,5000,13MP,5MP,0,16.59,Helio G25,7190
483,Redmi 9A Sport,Coral Green,32,3,5000,13MP,5MP,0,16.59,Helio G25,7990
484,vivo Y100 5G,Pacific Blue,128,8,4500,64MP,16MP,0,16.21,Mediatek Dimensity 900,23999
485,SAMSUNG Galaxy A14 5G,Light Green,128,8,5000,50MP,13MP,0,16.76,SEC S5E8535 (Exynos 1330),20999
486,REDMI Note 11,Horizon Blue,64,4,5000,50MP,13MP,0,16.33,Snapdragon 680,12990
487,vivo V25 5G,Elegant Black,128,8,4500,64MP,50MP,0,16.36,Mediatek Dimensity 900,27999
488,SAMSUNG Galaxy A34 5G,Awesome Violet,256,8,5000,48MP,13MP,0,16.76,"Dimensity 1080, Octa Core ",32999
489,Infinix Note 12 5G,Force Black,64,6,5000,50MP,16MP,1,17.02,Mediatek Dimensity 810 5G,14999
491,MOTOROLA g42,Metallic Rose,64,4,5000,50MP,16MP,0,16.43,Qualcomm Snapdragon 680,13999
493,SAMSUNG Galaxy A34 5G,Awesome Violet,128,8,5000,48MP,13MP,0,16.76,"Dimensity 1080, Octa Core ",30999
494,SAMSUNG Galaxy S21 FE 5G,Olive Green,128,8,4500,12MP,32MP,0,16.26,snapdragon 888,32999
498,REDMI Note 11T 5G,Stardust White,128,8,5000,50MP,16MP,0,16.76,Mediatek Dimensity 810,19397
501,vivo V25 5G,Surfing Blue,128,8,4500,64MP,50MP,0,16.36,Mediatek Dimensity 900,27999
502,vivo Y16,Steller Black,32,3,5000,13MP,5MP,0,16.54,Mediatek Helio P35,10989
503,vivo Y16,Drizzling Gold,32,3,5000,13MP,5MP,0,16.54,Mediatek Helio P35,10989
504,realme X3 SuperZoom,Glacier Blue,256,3,4200,64MP,16MP,0,16.69,Qualcomm Snapdragon 855,17999
505,OPPO F21 Pro,Sunset Orange,128,8,4500,64MP,32MP,0,16.33,Qualcomm Snapdragon 680,20999
506,REDMI Note 11S,Space Black,128,6,5000,108MP,16MP,0,16.33,Mediatek Dimensity 810,16990
513,Infinix HOT 12 Play,Horizon Blue,64,4,6000,13MP,8MP,0,17.32,Unisoc T610,8999
516,vivo V23 5G,Stardust Black,128,8,4200,64MP,16MP,0,16.36,Mediatek Dimensity 920,29990
517,OnePlus 8,Interstellar Glow,256,8,4300,48MP,32MP,0,16.64,Qualcomm Snapdragon 865,38920
518,vivo Y1s,Aurora Blue,32,3,4030,13MP,5MP,0,15.8,MediaTek Helio P35,9387
519,OnePlus 8,Glacial Green,128,6,4300,48MP,16MP,0,16.64,Qualcomm Snapdragon 865,29790
520,OnePlus Nord,Blue Marble,128,8,4115,48MP,13MP,0,16.36,QualcommÂ® Snapdragonâ_x0084_¢ 765G,24999
521,OPPO A77s,Starry Black,128,8,5000,50MP,8MP,0,16.66,Qualcomm Snapdragon 680,16499
522,Nokia C01 Plus,Grey,16,2,3000,5MP,2MP,0,13.84,Unisoc SC9863A,5799
523,POCO M4 Pro,Power Black,128,6,5000,64MP,16MP,0,16.33,Mediatek Helio G96,16499
526,REDMI 10A SPORT,SLATE GREY,128,6,5000,13MP,5MP,0,16.59,Helio G25,10890
527,REDMI 10A SPORT,CHARCOAL BLACK,128,6,5000,13MP,5MP,0,16.59,Helio G25,10548
530,realme GT 2,Steel Black,256,2,5000,50MP,16MP,0,16.81,Qualcomm Snapdragon 888,32299
531,SAMSUNG Galaxy A54 5G,Awesome Graphite,256,8,5000,50MP,32MP,0,16.26,"Exynos 1380, Octa Core ",40999
532,Nokia C01 Plus,Blue,32,2,3000,5MP,2MP,0,13.84,Unisoc SC9863A,6299
533,vivo Y33s,Mirror Black,128,8,5000,50MP,16MP,0,16.71,MediaTek Helio G80,16990
534,vivo Y56 5G,Orange Shimmer,128,4,5000,50MP,16MP,0,16.71,Mediatek Dimensity 700,17999
535,realme Narzo N55,Prime Black,64,4,5000,64MP,8MP,0,17.07,MediaTek Helio G88,11490
536,realme Narzo 50A Prime,Flash Black,128,4,5000,50MP,8MP,0,16.76,MediaTek Helio G88,12599
543,REDMI Note 10S,Frost White,128,6,5000,64MP,13MP,0,16.33,Mediatek Helio G95,16499
544,realme X3 SuperZoom,Arctic White,256,6,4200,64MP,32MP,0,16.69,Qualcomm Snapdragon 855+,17999
545,vivo V23 5G,Sunshine Gold,128,8,4200,64MP,16MP,0,16.36,Mediatek Dimensity 920,31989
546,APPLE iPhone 11,Black,64,8,3110,12MP,12MP,0,15.49,ios,41199
547,vivo T1 Pro 5G,Turbo Black,128,8,4700,64MP,16MP,0,16.36,Qualcomm Snapdragon 778G 5G Mobile Platform,24999
548,vivo T1 Pro 5G,Turbo Cyan,128,6,4700,64MP,16MP,0,16.36,Qualcomm Snapdragon 778G 5G Mobile Platform,23999
549,Infinix Smart 5A,Midnight Black,32,2,5000,8MP,8MP,0,16.56,MediaTek Helio A20,7199
551,SAMSUNG Galaxy F23 5G,Copper Blush,128,4,5000,50MP,8MP,0,16.76,Qualcomm Snapdragon 750G,15999
553,POCO C31,Royal Blue,64,4,5000,13MP,5MP,0,16.59,MediaTek G35,8999
556,POCO C31,Royal Blue,64,4,5000,13MP,5MP,0,16.59,MediaTek G35,8999
561,MOTOROLA e22s,Eco Black,64,4,5000,16MP,8MP,0,16.51,Mediatek Helio G37,8940
562,vivo T1 Pro 5G,Turbo Cyan,128,8,4700,64MP,16MP,0,16.36,Qualcomm Snapdragon 778G,24999
563,Tecno Spark Go 2023,Uyuni Blue,64,4,5000,13MP,5MP,0,16.66,MediaTek Helio A22,8288
564,POCO C31,Royal Blue,32,3,5000,13MP,5MP,0,16.59,MediaTek Helio G35,8499
565,Infinix Hot 12 Pro,Halo White,64,6,5000,50MP,8MP,0,16.76,Unisoc T616,9999
566,SAMSUNG Galaxy A23,Peach,128,6,5000,50MP,8MP,0,16.76,Octa-core(EXYNOS),17499
567,REDMI 9i,Midnight Black,64,4,5000,13MP,5MP,0,16.59,MediaTek Helio G25,8999
568,REDMI Note 9,Scarlet Red,128,6,5020,48MP,13MP,0,16.59,MediaTek Helio G85,14999
569,MOTOROLA Edge 30 Ultra,Starlight White,256,6,4610,200MP,60MP,0,16.94,Qualcomm Snapdragon 8+ Gen 1,49999
571,vivo Y565G,Orange Shimmer,128,8,5000,50MP,16MP,0,16.71,MTK Dimensity 700,19979
573,SAMSUNG M53 5G,Deep Ocean Blue,128,6,5000,108MP,32MP,0,17.02,Mediatek Dimensity 900,23390
574,REDMI Note 10 Lite,Glacier White,128,6,5020,48MP,16MP,0,16.94,Qualcomm Snapdragon 720G,14385
576,APPLE iPhone 14 Plus,Midnight,128,6,4323,12MP,12MP,0,17.02,IOS,80999
577,vivo V25 Pro 5G,Pure Black,256,6,4830,64MP,32MP,0,16.66,Mediatek Dimensity 1300,30874
579,Infinix Hot 12 Pro,Lightsaber Green,128,8,5000,108MP,8MP,0,16.76,Unisoc T616,12999
580,vivo V25 Pro 5G,Sailing Blue,128,8,4830,64MP,32MP,0,16.66,Mediatek Dimensity 1300,35999
581,Infinix Hot 11,Emerald Green,64,4,5200,13MP,8MP,0,16.76,MediaTek Helio G70,9999
